FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",LFT,IAH,False,False,700,651.0,0.0,-9.0,800.0,0.0,46.0,80.0,69.0,201.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4243,C5,20445,C5,N14198,4243,12951,1295106,32951,"Lafayette, LA",LA,22,Louisiana,72,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,0700-0759,13.0,704.0,750.0,10.0,820,-20.0,0.0,-2.0,0800-0859,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAD,ROC,False,False,1745,1904.0,79.0,79.0,2017.0,65.0,46.0,87.0,73.0,288.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4242,C5,20445,C5,N12195,4242,12264,1226402,30852,"Washington, DC",VA,51,Virginia,38,14576,1457606,34576,"Rochester, NY",NY,36,New York,22,1.0,5.0,1700-1759,19.0,1923.0,2009.0,8.0,1912,65.0,1.0,4.0,1900-1959,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,LFT,False,False,2146,2137.0,0.0,-9.0,2225.0,0.0,34.0,64.0,48.0,201.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4241,C5,20445,C5,N11184,4241,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,12951,1295106,32951,"Lafayette, LA",LA,22,Louisiana,72,0.0,-1.0,2100-2159,11.0,2148.0,2222.0,3.0,2250,-25.0,0.0,-2.0,2200-2259,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",BTR,IAH,False,False,1645,1634.0,0.0,-11.0,1755.0,0.0,56.0,91.0,81.0,253.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4240,C5,20445,C5,N12201,4240,10781,1078105,30781,"Baton Rouge, LA",LA,22,Louisiana,72,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,1600-1659,15.0,1649.0,1745.0,10.0,1816,-21.0,0.0,-2.0,1800-1859,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",ABQ,IAH,False,False,1215,1209.0,0.0,-6.0,1503.0,0.0,84.0,136.0,114.0,744.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4238,C5,20445,C5,N10156,4238,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,1200-1259,20.0,1229.0,1453.0,10.0,1531,-28.0,0.0,-2.0,1500-1559,3,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAD,PVD,False,False,1717,1711.0,0.0,-6.0,1843.0,0.0,55.0,101.0,92.0,371.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4237,C5,20445,C5,N12172,4237,12264,1226402,30852,"Washington, DC",VA,51,Virginia,38,14307,1430705,30721,"Providence, RI",RI,44,Rhode Island,15,0.0,-1.0,1700-1759,28.0,1739.0,1834.0,9.0,1858,-15.0,0.0,-1.0,1800-1859,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,GJT,False,False,1335,1338.0,3.0,3.0,1440.0,0.0,38.0,66.0,62.0,212.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4236,C5,20445,C5,N17146,4236,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11921,1192102,31921,"Grand Junction, CO",CO,8,Colorado,82,0.0,0.0,1300-1359,19.0,1357.0,1435.0,5.0,1441,-1.0,0.0,-1.0,1400-1459,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",BUF,IAD,False,False,1935,1928.0,0.0,-7.0,2039.0,0.0,46.0,79.0,71.0,283.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4235,C5,20445,C5,N12135,4235,10792,1079206,30792,"Buffalo, NY",NY,36,New York,22,12264,1226402,30852,"Washington, DC",VA,51,Virginia,38,0.0,-1.0,1900-1959,19.0,1947.0,2033.0,6.0,2054,-15.0,0.0,-1.0,2000-2059,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",BUF,IAD,False,False,1501,1454.0,0.0,-7.0,1602.0,0.0,58.0,79.0,68.0,283.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4234,C5,20445,C5,N12135,4234,10792,1079206,30792,"Buffalo, NY",NY,36,New York,22,12264,1226402,30852,"Washington, DC",VA,51,Virginia,38,0.0,-1.0,1500-1559,6.0,1500.0,1558.0,4.0,1620,-18.0,0.0,-2.0,1600-1659,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,BTR,False,False,1634,1624.0,0.0,-10.0,1721.0,0.0,42.0,68.0,57.0,253.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4233,C5,20445,C5,N11191,4233,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,10781,1078105,30781,"Baton Rouge, LA",LA,22,Louisiana,72,0.0,-1.0,1600-1659,12.0,1636.0,1718.0,3.0,1742,-21.0,0.0,-2.0,1700-1759,2,0
